miR-15b-3p	miR-514a-3p	miR-421	miR-4516	miR-629-3p	miR-650	miR-1343-5p	miR-6741-3p	miR-6743-3p	miR-744-3p	miR-30a-3p	miR-133b	miR-338-3p	miR-4689	miR-126-3p	miR-30e-3p	miR-551b-3p	miR-30b-5p	miR-6848-3p	miR-125b-2-3p	GO.ID	Term	mirs
NA	NA	NA	NA	NA	NA	TOB2 KDELR1 CSF1 CSF3 NFAM1 ETS1 ZBTB1 FOXC1 CLCF1 MTOR ZNF385A HIPK2 MFNG MITF ZBTB7B CYP26B1 TTC7A RAF1 RARA DPF2 SRF STK4 TAL1 TCF7 TFE3 TNF VEGFA MPIG6B LOXL3 TNFRSF18 CD4 HAND2 CD40	NA	NA	NA	NA	NA	NA	NA	NA	ADA CREBBP EGR1 EPAS1 TNRC6B HOXB7 HSPD1 MEF2C PITX2 RIF1 PSMD10 AZI2 SOS1 SP3 BPGM RO60 TCF21 UNG CDC73 RUNX1	NA	BCL2L11 SH2B3 LRRC17 FST FAM210B MMP21 PPARGC1B TENT2 DHX36 AGO3 EML1 TNRC6B WDR7 ABL1 TNRC6A GLI2 OSTM1 FLVCR1 HIPK2 SNX10 HLX HMGB3 HOXB8 IRF2BP2 IRF4 JAG2 JARID2 LOX MEIS2 KMT2A MOV10 NF1 NFATC2 NOTCH1 SIX4 PIK3CD PIP4K2A DLL4 POU4F2 CHD7 PSMD7 SH3RF1 PTPN2 KMT2C RARG ARID4A SMAP1 RORA CCL19 PRDM1 SOX4 KLF10 PICALM CASP3 RUNX2 RUNX1 CBFB SOCS1 ACTN1 ATG5 SH3PXD2A HDAC9 TOX WDR1	NA	NA	GO:0002520	immune system development	miR-1343-5p, miR-30e-3p, miR-30b-5p
NA	NA	NA	NA	NA	NA	NA	C6orf89 HIC2 FMR1 MKX UBQLN1 NLK PPP1R11 NDST2	GADD45G CHD4 MBD6 NKX3-2 NEUROD4	NA	NA	NA	NA	NA	NA	NA	NA	NA	IGF2BP2 CHGB JDP2 ADK CRK CTSB CYC1 DNASE2 ARL6IP1 ALK ALOX12B ERLEC1 GNAS KCTD1 SUMF1 DNAJB1 TRIML1 IGFBP2 JAK2 MEFV IL20 TLR7 PKD2 KLK15 KLHL42 RARG ACTB MPPE1 HLTF STK3 TGFB2 KLF10 TSNAX WRN ZIC3 PIGZ CUL4B CUL1 TNKS1BP1 SERPINH1 CREB3L1 TP53INP1	NA	GO:0006807	nitrogen compound metabolic process	miR-6848-3p, miR-6741-3p, miR-6743-3p
CHL1 UBR3 CREBRF GRIA1 HIF1A MYO5A NPY2R OXR1 ATXN1 SCN9A SNCG ATAD1 APLN NAV2 KALRN	NA	PLK2 NMU CREBRF EPHA4 EPS8 FGF13 PLCB1 MTOR PCDH17 TAFA2 MEIS2 ATXN3 ATP8A2 ACE2 SNAP25 PICALM CASP3 DYNLRB1 MBD2 MTA1 NR1D2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PLK2 ADCYAP1 CREBRF EGR1 NPTN GMFB GRID1 HCRTR2 ATXN1L PMCH PSAP SLC18A2 SNCA UCHL1 B4GALT2 FOXP2	GO:0007610	behavior	miR-125b-2-3p, miR-15b-3p, miR-421
NA	NA	NA	NA	NA	NA	NA	C6orf89 FMR1 UBQLN1 NLK PPP1R11	NA	GPHN ARIH2 METAP2 ESCO1 ANAPC16 GGT6 RNF19B CFD DIO2 EDN3 AGO4 EIF5A OARD1 UNC5CL FGF9 PPM1E NCBP2 SMG1 GPD1L FMR1 MORC3 RNF144B TIPRL LATS2 NPTN STK39 ANG MYLIP HIST1H1C FFAR4 IGFBP5 IL5RA IL6ST IL18 ASB18 ARNTL MAN1A1 MANBA MEF2C NAB2 CLEC1B CTDSPL2 AZIN1 FBXO40 PFN2 PHF2 FBXW5 RMND1 OXR1 PPP2R1B PPP2R5B FBXW7 PREP NGLY1 EIF5A2 PSMB5 POGLUT1 PARP11 ADAMTSL3 PTEN MIB1 PTPN14 PTPRB RAB3B RAD23B MOK RPL41 SERPINB3 SERPINB4 MARCH7 SMARCB1 BRAF STK4 BST2 TAL1 C5AR1 UGCG KDM6A FZD5 OTUB2 UBA5 L2HGDH CAST SNX25 PYM1 USP30 PTPN5 TNKS URI1 KALRN LATS1 NDST3 MED7 HDAC9 USP3	NA	NA	NA	NA	NA	NA	TRIM31 CHMP4B RNF168 ERBB4 CRB2 MEF2C TMPRSS4 PJA1 ZFP36 CASP2 NEURL1	NA	NA	NA	GO:0019538	protein metabolic process	miR-6741-3p, miR-744-3p, miR-551b-3p
NA	NA	NA	NA	NA	NA	NA	C6orf89 HIC2 FMR1 MKX UBQLN1 NLK PPP1R11 NDST2	GADD45G CHD4 MBD6 NKX3-2 NEUROD4 PLEKHA2	NA	NA	NA	NA	NA	NA	NA	NA	NA	IGF2BP2 CHGB JDP2 ADH6 ADK CRK CTSB CYC1 DNASE2 ARL6IP1 ALK ALOX12B ERLEC1 GNAS KCTD1 SUMF1 DNAJB1 TRIML1 IGFBP2 JAK2 MEFV IL20 TLR7 PKD2 SLAMF8 KLHL42 RARG ACTB MPPE1 HLTF STK3 TGFB2 KLF10 TSNAX WRN ZIC3 PIGZ CUL4B CUL1 TNKS1BP1 CREB3L1 TP53INP1	NA	GO:0044237	cellular metabolic process	miR-6848-3p, miR-6741-3p, miR-6743-3p
NA	ADGRG2 CDK4 RCAN2 STAM2 VAT1 KHDRBS1 TPPP AKAP10 COL2A1 CD200R1 KLF6 NCOA7 SESN3 ZNF800 ZNF675 CLYBL ECE1 AGO4 TIGIT ERC1 SYT11 ARHGEF9 UFL1 TSPAN12 SPDYA MYRIP NOL11 AFF4 GLI2 LPAR4 GRIA2 NR3C1 GRM8 HNRNPH1 RSPO2 OSTN IGBP1 SKA2 ITIH1 AGRN VGLL3 USP27X KMT2A FOXO4 ZFHX3 OAZ2 SERPINE1 PAK1 ABHD17B KLF13 PEG3 ATP8B1 PIK3C2B BRWD1 TET2 MBTD1 PPP3R1 CHD7 IL26 PTEN ERMN ARRDC3 PTPRG PTPRZ1 JAM2 RAB3A ZNF350 NPAS3 NPVF ADGRL4 ARHGEF28 SLC20A1 SPTBN1 SVIL TAC1 TCF12 TPR ZIC1 ZNF142 SNIP1 MCTP1 ZNF614 NETO2 SPRY4 FZD4 ITCH ZNF282 USO1 DLK1 ANKRD30A RABEP1 CABLES1 REPS2 MS4A3 TAOK2 STXBP5L PPM1F ZNF536 C2CD5 MAGI2	NA	NA	NA	NA	NA	NA	GADD45G CHD4 PRRT2 SEPTIN8 NKX3-2 NEUROD4	NA	NA	NA	NA	ZNF730 CDH6 HUWE1 CTDSP2 MBNL2 PRMT3 NME6 DHRS2 RCAN2 SNAPC5 CACNG3 PGRMC2 LYPLA1 CIT BTN3A1 CD160 KAT7 BAZ2A RASSF1 GPR146 ADCYAP1 RMI2 ADCYAP1R1 TPP1 WFIKKN2 CNGA3 CD200R1 IL17RE CPEB2 UNC5D PIP5KL1 CREB1 LGALS16 EXOC8 CNTN4 DAB2 GRASP DDX3X HTR3C DLG1 DLG2 AGER DYRK1A E2F2 AGXT ABCA1 S1PR1 ELF3 NAIF1 EPHB6 AMER3 ALDH1A3 JAZF1 MMD2 CASC3 RRAS2 RAB11FIP2 ANKRD6 NCBP2 RAB18 LARP4B FAM168A ADGRL2 SMG6 CUX2 RPGRIP1L HAUS5 ARHGEF12 SIRT3 LDOC1 FKBP8 IFIT5 FUT8 LCORL CLIC4 KANK2 ANKRD17 TCTN3 GFI1 GFRA1 HBP1 IL17C GPI GRIK3 GRIN2A GRIN2D ZBTB44 NR3C1 RACGAP1 GSK3B ERO1A HAS3 HMGB3 HMGCR HOXC10 HOXC13 HOXD13 NRBP2 IGF1 RBPMS2 IGSF1 IHH IL13RA1 INPP4A INSR IPO5 RHOA ZNF324B TRNP1 LBP ASIC1 MAPT MEIS2 ASCL1 MAP3K9 KMT2A MPV17 MTAP ZFHX3 NFIA CNOT2 NOVA1 NPTX2 NRAS ATP2B1 P2RX4 MINK1 PBX2 CDK17 PPME1 UBE2J1 TAF9B PDYN PITPNA PLAT ZFYVE1 GPR173 POLR2G TMCO1 POU2F2 ATRX LEPROT KLHL24 ZNF280D GDPD2 PXK C1orf56 VPS13D PPP2R5D PPT1 CDC42BPG FRMD4A SLF2 PCID2 FOXJ2 BRK1 PBK ENY2 ARFGEF3 TXNDC16 TAOK1 CALCOCO1 SHTN1 RAP1A CARD18 CXCL6 IKZF4 SH3GL1 SLAMF1 SLC9A1 SLC18A2 SSRP1 STX5 TAC3 TCF12 THRB C5 UBE2L3 UBE2V1 UBP1 UCHL1 WNT5A WT1 XPO1 SF1 ZNF138 CACNA1B ZKSCAN8 ZNF226 CACNA1E DSCC1 ZNF343 FYCO1 NLRX1 E2F8 CPSF7 DOK3 SYNPO2L STAM CSRP3 COL18A1 SNX27 GDF5 CANX ZNF484 GPR61 TMEM117 RHBDD1 BTBD10 PHF6 HVCN1 MAML2 JPH4 CDC42BPA GPR65 SEMA7A ARHGEF39 YBX3 CAMK1 TSLP PRKRA RUNX1T1 RUNX3 TNKS TNFRSF14 FGF17 CD84 ENDOU TRPA1 FMNL3 CYTH2 SOCS6 HMGN3 CLEC6A ACVRL1 OPN4 TP53INP1 FAM53B PUM1 ZBTB39 SUPT7L CDC25C MED13	NA	NA	NA	NA	NA	NA	GO:0050794	regulation of cellular process	miR-4689, miR-514a-3p, miR-6743-3p
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ADA AKT3 TOB1 AKAP9 CDKN1B AKAP8 CNPY2 NOD1 SEMA3C CELF2 NRG3 MAPRE2 CREBBP DDX3X DSCAM EGR1 RANBP3L EP300 EPAS1 EPHA7 ERBB4 EYA1 HS3ST5 SLITRK3 ANKRD6 TRAK1 TNIK TNRC6B CLASP2 CLASP1 PUM2 NEGR1 LRRTM2 GBP1 GSK3B HOXB7 APC HSPD1 ID1 LRRTM1 IL1B AR ARF6 CAPRIN1 MAF MAP1B MECP2 MEF2C MEOX2 KMT2A ATP1A1 CCN3 NPY2R NRCAM NTRK3 PLCE1 UBE2J1 RAB8B SIX4 POU4F1 PPM1B RIF1 TMEM100 PRKAA1 TBC1D23 PRNP PSMD10 PTEN PTGER2 RARB RGS2 RNF6 ROBO1 RYR3 SH3GL3 SLN SOD2 SOS1 SYT4 HNF1B TSHR YWHAE CDC73 CALCA ELL3 KCNIP4 HMGA2 CAMK2G VANGL1 CASR CAV1 RUNX1 RAB11A C5orf30 IL33 GORAB HOMER2 RAPGEF2 ZEB2	NA	NA	NA	PLK2 CRK SPRED1 PLXNB2 ITGA6 LOX ZNF219 PTPN9 ADAM9 PLXNA4	NA	NA	NA	IGF2BP2 CRK CBLN2 ALK ALOX12B GNAS JAK2 MEFV IL20 TLR7 SLAMF8 RARG TNN STK3 TGFB2 KLF10 CREB3L1	NA	GO:0051239	regulation of multicellular organismal process	miR-6848-3p, miR-30a-3p, miR-126-3p
NA	ABCC9 ADGRG2 CDK4 RCAN2 STAM2 VAT1 KHDRBS1 TPPP AKAP10 COL2A1 CD200R1 KLF6 NCOA7 SESN3 ZNF800 ZNF675 CLYBL ECE1 AGO4 TIGIT ERC1 SYT11 ARHGEF9 UFL1 SLC44A1 TSPAN12 LSM5 SPDYA MYRIP NOL11 AFF4 GLI2 LPAR4 GRIA2 NR3C1 GRM8 HNRNPH1 RSPO2 OSTN IGBP1 SKA2 ITIH1 AGRN VGLL3 USP27X KMT2A FOXO4 ZFHX3 OAZ2 SERPINE1 PAK1 ABHD17B KLF13 PEG3 ATP8B1 PIK3C2B BRWD1 TET2 MBTD1 PPP3R1 CHD7 IL26 PTEN ERMN ARRDC3 PTPRG PTPRZ1 JAM2 RAB3A ZNF350 ACSM3 SCN3A NPAS3 NPVF ADGRL4 ARHGEF28 SLC20A1 SPTBN1 SVIL TAC1 TCF12 TPR C7 ZIC1 ZNF142 SNIP1 MCTP1 CYBRD1 ZNF614 NETO2 SPRY4 FZD4 ITCH ZNF282 ARFGAP2 USO1 DLK1 ANKRD30A CCNE2 RABEP1 CABLES1 REPS2 MS4A3 TAOK2 STXBP5L PPM1F ZNF536 C2CD5 MAGI2	NA	NA	NA	NA	NA	NA	GADD45G CHD4 PRRT2 SEPTIN8 NKX3-2 NEUROD4 PLEKHA2 CACNB1 KCNK17	NA	NA	NA	NA	ZNF730 CDH6 HUWE1 CTDSP2 MBNL2 PRMT3 NME6 DHRS2 RCAN2 SNAPC5 CACNG3 PGRMC2 LYPLA1 POLD3 AFG3L2 CIT BTN3A1 CD160 KAT7 BAZ2A RASSF1 GPR146 ADCYAP1 RMI2 ADCYAP1R1 TPP1 WFIKKN2 CNGA3 CD200R1 IL17RE CPEB2 UNC5D PIP5KL1 CREB1 LGALS16 EXOC8 CNTN4 KCTD7 DAB2 GRASP DDX3X HTR3C DLG1 DLG2 AGER DYRK1A E2F2 AGXT ABCA1 S1PR1 ELF3 NAIF1 EPHB6 AMER3 ALDH1A3 JAZF1 MMD2 ALDH9A1 CASC3 RRAS2 RAB11FIP2 ANKRD6 NCBP2 RAB18 LARP4B FAM168A ADGRL2 SMG6 CUX2 RPGRIP1L HAUS5 ARHGEF12 SIRT3 LDOC1 FKBP8 IFIT5 FUT8 LCORL CLIC4 KANK2 ANKRD17 TCTN3 GFI1 GFRA1 HBP1 IL17C GPI GRIK3 GRIN2A GRIN2D ZBTB44 NR3C1 RACGAP1 GSK3B ERO1A HAS3 HMGB3 HMGCR SLC29A2 HOXC10 HOXC13 HOXD13 NRBP2 IGF1 RBPMS2 IGSF1 IHH IL13RA1 INPP4A INSR IPO5 RHOA INSC ZNF324B TRNP1 LBP ASIC1 MAPT MEIS2 MIP ASCL1 MAP3K9 KMT2A MPV17 MTAP ZFHX3 NFIA ATP1A3 ATP12A CNOT2 NOVA1 NPTX2 NRAS ATP2B1 P2RX4 MINK1 PBX2 CDK17 PPME1 UBE2J1 TAF9B PDYN PITPNA PLAT ZFYVE1 GPR173 POLR2G TMCO1 POU2F2 ATRX LEPROT KLHL24 ZNF280D GDPD2 PXK C1orf56 SLC25A36 VPS13D PPP2R5D SHFL PPT1 CDC42BPG UBE2Q1 FRMD4A SLF2 PCID2 FOXJ2 BRK1 PBK ENY2 BAAT ARFGEF3 TXNDC16 TAOK1 NCEH1 CALCOCO1 SHTN1 SLAMF7 RAP1A CARD18 RYR3 SCN9A CXCL6 IKZF4 SH3GL1 LL22NC03-63E9.3 SLAMF1 SLC9A1 SLC16A2 SLC18A2 SSRP1 STX5 TAC3 TCF12 THRB TOP1 C5 UBE2L3 UBE2V1 UBP1 UCHL1 WNT5A WT1 XPO1 SF1 ZNF138 CACNA1B ZKSCAN8 ZNF226 CACNA1E DSCC1 ZNF343 FYCO1 RIC3 NLRX1 E2F8 NHEJ1 CPSF7 DOK3 SYNPO2L STAM CSRP3 COL18A1 SNX27 GDF5 CANX ZNF484 GPR61 TMEM117 RHBDD1 BTBD10 PHF6 HVCN1 MAML2 JPH4 CDC42BPA GPR65 SEMA7A ARHGEF39 YBX3 CAMK1 TSLP PRKRA RUNX1T1 RUNX3 TNKS TNFRSF14 FGF17 CD84 ENDOU TRPA1 CLDN10 FMNL3 CDHR1 CYTH2 SOCS6 HMGN3 CLEC6A ACVRL1 OPN4 TP53INP1 FAM53B PUM1 SNPH ZBTB39 SV2A SUPT7L CDC25C MED13	NA	NA	NA	NA	NA	NA	GO:0065007	biological regulation	miR-4689, miR-514a-3p, miR-6743-3p
NA	NA	NA	CELSR2 PCDHGC3 PCDHGC5 PCDHGC4 PCDHGB6 PCDHGB3 PCDHGB2 PCDHGB1 PCDHGA10 PCDHGA9 PCDHGA7 PCDHGA6 PCDHGA5 PCDHGA4 PCDHGA2 PCDHGA1 PCDHB4 DSCAML1 RIC8A PCDHGB4 PCDHGA8	NA	PCDHGA12 CD209 IL1RN ITGAL PCDHGC3 PCDHGC5 PCDHGC4 PCDHGB7 PCDHGB6 PCDHGB3 PCDHGB2 PCDHGB1 PCDHGA11 PCDHGA10 PCDHGA9 PCDHGA7 PCDHGA6 PCDHGA5 PCDHGA4 PCDHGA3 PCDHGA2 PCDHGA1 NECTIN2 PCDHGB4 MYADM CD6 PCDHGA8	NA	NA	NA	NA	NA	PCDHGA12 PCDH17 GRID2 PCDHGC3 PCDHGC5 PCDHGC4 PCDHGB7 PCDHGB6 PCDHGB3 PCDHGB2 PCDHGB1 PCDHGA11 PCDHGA10 PCDHGA9 PCDHGA7 PCDHGA6 PCDHGA5 PCDHGA4 PCDHGA3 PCDHGA2 PCDHGA1 DSCAML1 PTPRD TGFB2 TRO PCDHGB4 CD84 PCDHGA8	NA	NA	NA	NA	NA	NA	NA	NA	GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	miR-4516, miR-650, miR-133b
NA	NA	NA	NA	ARPC3 EDN1 PROX1 VASP SYNPO2L	NA	NA	NA	NA	NA	AKAP9 TENM1 CDKN1B CLASP1 RICTOR ID1 ARF6 MAP1B MECP2 WASL	NA	ARPC1B MAPRE1 ARHGEF10L CCL21 TPM1 NRP1	NA	NA	TENM1 CDKN1B ID1 ARF6 MAP1B WASL	NA	NA	NA	NA	GO:1902905	positive regulation of supramolecular fiber organization	miR-629-3p, miR-30a-3p, miR-338-3p, miR-30e-3p
